company_id,company
1,Flash Cab
2,Chicago Independents
3,Taxi Affiliation Services
4,Taxicab Insurance Agency Llc
5,Blue Ribbon Taxi Association
6,City Service
7,"Taxicab Insurance Agency, LLC"
8,Medallion Leasin
9,Choice Taxi Association
10,Chicago City Taxi Association
11,Sun Taxi
12,U Taxicab
13,5 Star Taxi
14,Globe Taxi
15,Patriot Taxi Dba Peace Taxi Associat
16,Choice Taxi Association Inc
17,Tac - Yellow Cab Association
18,Koam Taxi Association
19,3556 - 36214 RC Andrews Cab
20,Chicago Taxicab
21,312 Medallion Management Corp
22,Top Cab
23,3591 - 63480 Chuks Cab
24,Taxi Affiliation Services Llc - Yell
25,Setare Inc
26,5167 - 71969 5167 Taxi Inc
27,Tac - Checker Cab Dispatch
28,6574 - Babylon Express Inc.
29,Metro Jet Taxi A.
30,2733 - 74600 Benny Jona
31,Petani Cab Corp
